attempt,collected_frames,gpu/mem_allocated_gb,gpu/mem_reserved_gb,gpu/mem_max_allocated_gb
1,12058624,3.559094784,3.71195904,6.782503936
1,12124160,3.55974656,3.71195904,6.782503936
1,12189696,3.55951872,3.71195904,6.782503936
1,12255232,3.559508992,3.735027712,6.782503936
1,12320768,3.560086016,3.693084672,6.782503936
1,12386304,3.560863744,3.737124864,6.782503936
1,12451840,3.5619968,3.737124864,6.782890496
1,12517376,3.557599744,3.716153344,6.782890496
1,12582912,3.557404672,3.695181824,6.782890496
1,12648448,3.56085248,3.716153344,6.782890496
1,12713984,3.559845376,3.735027712,6.782890496
1,12779520,3.559144448,3.693084672,6.782890496
1,12845056,3.55699712,3.714056192,6.782890496
1,12910592,3.560686592,3.714056192,6.782890496
1,12976128,3.557937664,3.693084672,6.782890496
1,13041664,3.559184384,3.716153344,6.782890496
1,13107200,3.558165504,3.693084672,6.782890496
1,13172736,3.560101376,3.735027712,6.782890496
1,13238272,3.5616896,3.716153344,6.782890496
1,13303808,3.559312384,3.716153344,6.782890496
1,13369344,3.558877696,3.716153344,6.782890496
